acpi 1.7-3
util-linux 2.35.1-2.1
vi 1:070224-4
vino 3.22.0+60+gd29a4f2-1
vulkan-intel 20.0.6-2
vulkan-radeon 20.0.6-2
wget 1.20.3-3
which 2.21-5
wpa_supplicant 2:2.9-7
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-2
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-intel 1:2.99.917+906+g846b53da-1
xf86-video-nouveau 1.0.16-1
xfsprogs 5.6.0-2
xorg-server 1.20.8-2
xorg-twm 1.0.10-2
xorg-xinit 1.4.1-1
xz 5.2.5-1
yay 9.4.7-2
yelp 3.36.0-1
zoom 3.5.374815.0324-1
zsh 5.8-1
zsh-completions 0.31.0-1
